,Baseline,Strict-Strict,Loose-Loose,Strict-Loose,Loose-Strict
1,0.00024,0.0009,0.0001,0.0005,0.0001
2,0.0006,0.0013,0.0001,0.0006,0.0001
3,0.0012,0.0022,0.0002,0.0012,0.0002
4,0.00168,0.0066,0.0002,0.0026,0.0005
5,0.00408,0.0152,0.0002,0.0055,0.0005
6,0.01032,0.0296,0.0012,0.0128,0.0008
7,0.01452,0.0751,0.0013,0.0239,0.0026
8,0.06744,0.1387,0.0026,0.0628,0.009
9,0.1056,0.3021,0.0191,0.1381,0.0332
10,0.37032,0.7682,0.0639,0.259,0.1058
11,0.76656,0.859,0.4209,0.7322,0.5634
12,0.79488,0.8614,0.7188,0.7429,0.5718
13,0.8172,0.8892,0.721,0.762,0.5763
14,0.81756,0.9411,0.7334,0.7679,0.5781
15,0.8364,0.9675,0.739,0.8093,0.6111
16,0.86172,0.9746,0.7763,0.8125,0.6146
17,0.90852,0.9968,0.7938,0.8732,0.619
18,0.91512,0.9968,0.8896,0.9071,0.6719
19,0.9894,0.9968,0.8944,0.9508,0.7349
20,0.9942,0.9968,0.9217,0.9696,0.7382
21,0.9942,0.9968,0.9353,0.9738,0.742
22,0.9942,0.9968,0.9418,0.9791,0.7569
23,0.9942,0.998,0.9557,0.9863,0.8326
24,0.9942,0.998,0.9605,0.9948,0.8614
25,0.9942,0.998,0.9691,0.9949,0.8782
26,0.9942,0.998,0.9726,0.9963,0.9022
27,0.9956,0.998,0.9868,0.9971,0.959
28,0.9956,0.998,0.9901,0.9977,0.9734
29,0.9968,0.998,0.9954,0.9978,0.972