,LC,BE
1,0.0002,0
2,0.0006,0.0003
3,0.0008,0.0008
4,0.0011,0.0009
5,0.003,0.0016
6,0.0098,0.0052
7,0.0156,0.0076
8,0.0341,0.013
9,0.066,0.0167
10,0.1634,0.0202
11,0.5521,0.0706
12,0.6276,0.0914
13,0.6542,0.112
14,0.6711,0.1867
15,0.678,0.3127
16,0.6923,0.3768
17,0.7151,0.4456
18,0.7199,0.473
19,0.7723,0.5018
20,0.8133,0.5101
21,0.8237,0.5322
22,0.8359,0.5518
23,0.851,0.5706
24,0.8635,0.591
25,0.8766,0.6028
26,0.8851,0.6055
27,0.894,0.6102
28,0.8958,0.6207
29,0.896,0.6251
30,0.896,0.6268